item_id,name,category,description,image_url,price,available,tags
ts-tranchau,Trà sữa trân châu,Trà sữa,Đậm trà thơm sữa cùng trân châu đen mềm dai,https://images.unsplash.com/photo-1558857563-b371033873b8?auto=format&fit=crop&w=1000&q=80,45000,true,"de-uong,it-ngot,ban-chay"
ts-oolong,Trà sữa ô long kem sữa,Trà sữa,Vị trà ô long thanh dịu phủ lớp kem sữa béo nhẹ,https://images.unsplash.com/photo-1525385133512-2f3bdd039054?auto=format&fit=crop&w=1000&q=80,52000,true,"thanh,huong-tra,kem-sua"
tra-dao,Trà đào cam sả,Trà trái cây,Chua ngọt cân bằng với đào miếng và hương sả thơm,https://images.unsplash.com/photo-1499638673689-79a0b5115d87?auto=format&fit=crop&w=1000&q=80,48000,true,"de-uong,mat-lanh,fruit"
matcha-latte,Matcha latte,Latte,Matcha Nhật cân vị sữa tươi thơm béo vừa phải,https://images.unsplash.com/photo-1515823662972-da6a2e4d3002?auto=format&fit=crop&w=1000&q=80,55000,true,"it-ngot,matcha,am-ap"
ca-phe-muoi,Cà phê muối,Cà phê,Cà phê đậm vị cùng lớp kem mặn ngọt dễ uống,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1000&q=80,42000,true,"ca-phe,de-uong,dac-trung"
banh-flan,Bánh flan caramel,Tráng miệng,Mềm mịn thơm trứng sữa phủ caramel ngọt dịu,https://images.unsplash.com/photo-1488477181946-6428a0291777?auto=format&fit=crop&w=1000&q=80,25000,true,"trang-mieng,nhe-nhang,tre-em"
tra-vai,Trà vải hoa hồng,Trà trái cây,Hương vải thanh mát điểm nhẹ hương hoa hồng,https://images.unsplash.com/photo-1464305795204-6f5bbfc7fb81?auto=format&fit=crop&w=1000&q=80,50000,true,"thanh,huong-hoa,de-uong"
socola-da-xay,Socola đá xay,Đá xay,Socola đậm đà xay lạnh béo mịn cho người thích ngọt,https://images.unsplash.com/photo-1572490122747-3968b75cc699?auto=format&fit=crop&w=1000&q=80,58000,true,"ngot,beo,tre-em"
ts-khoai-mon,Trà sữa khoai môn,Trà sữa,Vị khoai môn bùi thơm hòa cùng sữa béo nhẹ rất dễ uống,https://images.unsplash.com/photo-1621263764928-df1444c5e859?auto=format&fit=crop&w=1000&q=80,54000,true,"beo,de-uong,khoai-mon"
ts-dua-luoi,Trà sữa dưa lưới,Trà sữa,Hương dưa lưới thanh mát kết hợp trà sữa ngọt dịu,https://images.unsplash.com/photo-1553530979-fbb9e4aee36f?auto=format&fit=crop&w=1000&q=80,49000,true,"fruit,de-uong,mat-lanh"
bac-xiu,Bạc xỉu,Cà phê,"Cà phê sữa nhẹ vị, thơm mùi sữa và rất hợp người mới tập uống",https://images.unsplash.com/photo-1509042239860-f550ce710b93?auto=format&fit=crop&w=1000&q=80,39000,true,"ca-phe,de-uong,nhe-nhang"
americano-cam,Americano cam,Cà phê,"Cà phê đen pha cùng cam tươi chua ngọt, tỉnh táo mà vẫn thanh mát",https://images.unsplash.com/photo-1461023058943-07fcbe16d735?auto=format&fit=crop&w=1000&q=80,47000,true,"ca-phe,fruit,thanh"
cappuccino,Cappuccino,Latte,"Cà phê sữa nóng với lớp foam mịn, cân bằng giữa đậm và béo",https://images.unsplash.com/photo-1534778101976-62847782c213?auto=format&fit=crop&w=1000&q=80,53000,true,"ca-phe,am-ap,foam"
latte-hat-de,Latte hạt dẻ,Latte,Sữa hạt dẻ rang thơm kết hợp espresso nhẹ nhàng,https://images.unsplash.com/photo-1517701604599-bb29b565090c?auto=format&fit=crop&w=1000&q=80,56000,true,"hat-de,ca-phe,am-ap"
chanh-day-da-xay,Chanh dây đá xay,Đá xay,"Chua mát bùng vị chanh dây xay lạnh, rất hợp ngày nóng",https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?auto=format&fit=crop&w=1000&q=80,52000,true,"fruit,mat-lanh,chua-ngot"
cookies-cream-da-xay,Cookies & cream đá xay,Đá xay,"Bánh quy kem xay cùng sữa mịn béo, ngọt vừa và dễ ghiền",https://images.unsplash.com/photo-1577805947697-89e18249d767?auto=format&fit=crop&w=1000&q=80,60000,true,"ngot,beo,tre-em"
tra-xoai-nhiet-doi,Trà xoài nhiệt đới,Trà trái cây,"Xoài chín thơm cùng nền trà nhẹ, chua ngọt tươi mới",https://images.unsplash.com/photo-1556679343-c7306c1976bc?auto=format&fit=crop&w=1000&q=80,51000,true,"fruit,de-uong,mat-lanh"
tiramisu,Tiramisu,Tráng miệng,"Bánh mousse cà phê cacao mềm ẩm, ngọt vừa và rất hợp ăn kèm đồ uống",https://images.unsplash.com/photo-1571877227200-a0d98ea607e9?auto=format&fit=crop&w=1000&q=80,45000,true,"trang-mieng,ca-phe,nhe-nhang"
